日,날일,じつ·にち,か·ひ
妻,아내 처,さい,つま
仲,버금 중,ちゅう,なか
暴,"사나울 폭, 쬘 폭, 사나을 포",ぼう·ばく,あばれる·あばく
栄,"영화로울 영, 꽃 영",えい,さかえる·はえ·はえる
札,편지 찰,さつ,ふだ
蔵,감출 장,ぞう,くら
段,층계 단,だん,
険,험할 험,けん,けわしい
均,고를 균,きん,
圧,누를 압,あつ,
許,"허락할 허, 이영차 호",きょ,ゆるす
畑,화전 전,はた,はたけ
呼,부를 호,こ,よぶ
緑,"초록빛 록, 푸를 록",りょく·ろく,みどり
包,쌀 포,ほう,つつむ
礼,"예절 례, 예도 례",れい·らい,
留,머무를 류(유),りゅう·る,とまる·とめる
罪,허물 죄,ざい,つみ
針,바늘 침,しん,はり
専,오로지 전,せん,もっぱら
折,"꺾을 절, 천천히 할 제",せつ,おり·おる·おれる
昔,예 석,しゃく·せき,むかし
値,값 치,ち,ね·あたい
精,정할 정,せい·しょう,
則,"법칙 칙, 곧 즉",そく,
焼,불사를 소,しょう,やく·やける
測,헤아릴 측,そく,はかる
豊,풍년 풍,ほう,ゆたか
厚,두터울 후,こう,あつい
泳,헤엄칠 영,えい,およぐ
略,"간략할 략(약), 약할 략(약)",りゃく,
処,곳 처,しょ,
承,이을 승,しょう,うけたまわる
荷,멜 하,か,に
照,비칠 조,しょう,てらす·てる·てれる
絶,끊을 절,ぜつ,たえる·たつ·たやす
否,"아닐 부, 막힐 비",ひ,いな
版,판목 판,はん,
存,있을 존,そん·ぞん,
損,덜 손,そん,そこなう·そこねる
才,재주 재,さい,
座,자리 좌,ざ,すわる
仏,부처 불,ぶつ,ほとけ
績,길쌈할 적,せき,
築,"쌓을 축, 악기 이름 축",ちく,きずく
除,"덜 제, 사월 여",じょ·じ,のぞく
降,"내릴 강, 항복할 항",こう,おりる·おろす·ふる
混,"섞을 혼, 오랑캐 곤",こん,こむ·まざる·まじる·まぜる
並,나란할 병,へい,なみ·ならびに·ならぶ·ならべる
危,위태할 위,き,あぶない·あやうい·あやぶむ
居,"살 거, 어조사 기",きょ,いる
雑,섞일 잡,ざつ·ぞう,
招,"부를 초, 지적할 교, 별 이름 소",しょう,まねく
永,길 영,えい,ながい
炭,숱 탄,たん,すみ
刊,새길 간,かん,
像,모양 상,ぞう,
将,"장차 장, 장수 장",しょう,
漁,고기 잡을 어,ぎょ·りょう,
賛,도울 찬,さん,
貯,쌓을 저,ちょ,
犯,범할 범,はん,おかす
布,"베 포, 펼 포, 보시 보",ふ,ぬの
貝,조개 패,,かい
装,꾸밀 장,そう·しょう,よそおう
諸,"모두 제, 김치 저",しょ,
亡,망할 망,ぼう·もう,ない
劇,심할 극,げき,
湖,호수 호,こ,みずうみ
湯,"끊일 탕, 물이 세차게 흐를 상, 해돋이 양",とう,ゆ
箱,상자 상,,はこ
訓,"가르칠 훈, 길 순",くん,
浴,목욕할 욕,よく,あびせる·あびる
複,"겹칠 복, 겹칠 부",ふく,
塩,소금 염,えん,しお
似,닮을 사,じ,にる
背,등 배,はい,せ·せい·そむく·そむける
麦,보리 맥,ばく,むぎ
迷,미혹할 미,めい,まよう
夢,꿈 몽,む,ゆめ
兆,억조 조,ちょう,きざし·きざす
燃,탈 연,ねん,もえる·もす·もやす
歳,해 세,さい·せい,
署,마을 서,しょ,
祝,"빌 축, 빌 주",しゅく·しゅう,いわう
延,늘일 연,えん,のばす·のびる·のべる
預,"맡길 예, 미리 예",よ,あずかる·あずける
乱,어지러울 란,らん,みだす·みだれる
衣,옷 의,い,ころも
与,줄 여,よ,あたえる
氷,얼음 빙,ひょう,こおり·ひ
寒,찰 한,かん,さむい
賞,상줄 상,しょう,
辺,가 변,へん,あたり·べ
遠,멀 원,えん·おん,とおい
低,낮을 저,てい,ひくい·ひくまる·ひくめる
在,있을 재,ざい,ある
件,물건 건,けん,
団,둥글 단,だん·とん,
絵,그림 회,え·かい,
任,맡길 임,にん,まかす·まかせる
鉄,쇠 철,てつ,
失,잃을 실,しつ,うしなう
差,"다를 차, 어긋날 치, 버금 채",さ,さす
課,"공부활 과, 과정 과",か,
末,끝 말,まつ·ばつ,すえ
返,돌이킬 반,へん,かえす·かえる
増,"붙을 증, 더할 증",ぞう,ふえる·ふやす·ます
極,"극진할 극, 다할 극",きょく·ごく,きわまる·きわみ·きわめる
種,씨 종,しゅ,たね
短,짧을 단,たん,みじかい
情,뜻 정,じょう·せい,なさけ
油,기름 유,ゆ,あぶら
示,"보일 시, 땅 귀신 기",じ·し,しめす
量,헤아릴 량(양),りょう,はかる
望,바랄 망,ぼう·もう,のぞむ
植,"심을 식, 둘 치",しょく,うえる·うわる
宿,"잘 숙, 별자리 수",しゅく,やど·やどす·やどる
薬,약 약,やく,くすり
観,볼 관,かん,
察,살필 찰,さつ,
確,굳을 확,かく,たしか·たしかめる
型,모형 형,けい,かた
倍,곱 배,ばい,
勢,형세 세,せい,いきおい
減,덜 감,げん,へらす·へる
容,얼굴 용,よう,
党,무리 당,とう,
演,펼 연,えん,
達,통달할 달,たつ,
能,"능할 능,  견딜 내",のう,
良,어질 량(양),りょう,よい
再,두 재,さ·さい,ふたたび
弱,약할 약,じゃく,よわい·よわまる·よわめる·よわる
格,"격식 격, 그칠 각",かく·こう,
候,기후 후,こう,そうろう
史,사기 사,し,
過,지날 과,か,すぎる·すごす·あやまち·あやまつ
波,"물결 파, 방죽 피",は,なみ
満,찰 만,まん,みたす·みちる
敗,패할 패,はい,やぶれる
税,세금 세,ぜい,
管,"대롱 관, 주관할 관",かん,くだ
常,떳떳할 상,じょう,つね·とこ
兵,병사 병,へい·ひょう,
状,"형상 상, 문서 장",じょう,
営,경영할 영,えい,いとなむ
職,직분 직,しょく,
積,"쌓을 적, 저축 자",せき,つむ·つもる
可,"옳을 가, 오랑캐 임금 이름 극",か,
構,"얽을 구, 닥나무 구",こう,かまう·かまえる
録,기록할 록,ろく,
省,"살필 성, 덜 생",しょう·せい,はぶく·かえりみる
比,견줄 비,ひ,くらべる
防,막을 방,ぼう,ふせぐ
幸,다행 행,こう,さいわい·しあわせ·さち
練,익힐 련(연),れん,ねる
周,두루 주,しゅう,まわり
軽,가벼울 경,けい,かるい·かろやか
材,재목 재,ざい,
断,끊을 단,だん,ことわる·たつ
晴,갤 청,せい,はらす·はれる
等,무리 등,とう,ひとしい
境,지경 경,きょう·けい,さかい
規,법 규,き,
術,"재주 술, 취락 이름 수",じゅつ,
飛,날 비,ひ,とばす·とぶ
殺,"죽일 살, 감할 살, 빠를 쇄, 맴도는 모양 설, 윗사람 죽일 시 ",さつ·さい·せつ,ころす
導,인도할 도,どう,みちびく
曲,굽을 곡,きょく,まがる·まげる
備,갖출 비,び,そなえる·そなわる
単,홑 단,たん,
庭,뜰 정,てい,にわ
完,완전할 완,かん,
輸,보낼 수,ゆ,
血,피 혈,けつ,ち
述,펼 술,じゅつ,のべる
競,다툴 경,きょう·けい,きそう·せる
権,"저울추 권, 권세 권",けん·ごん,
温,따뜻할 온,おん,あたたか·あたたかい·あたたまる·あたためる
武,호반 무,ぶ·む,
給,줄 급,きゅう,
済,건널 제,さい,すます·すむ
庫,곳집 고,こく,
歴,지낼 력,れき,
限,"한할 한, 심할 은",げん,かぎる
辞,말씀 사,じ,やめる
額,이마 액,がく,ひたい
坂,고개 판,はん,さか
愛,사랑 애,あい,
耳,귀 이,じ,みみ
未,아닐 미,み,
群,무리 군,ぐん,むら·むれ·むれる
庁,관청 청,ちょう,
臣,신하 신,しん·じん,
城,재 성,じょう,しろ
拾,"주을 습, 열 십, 오를 섭",しゅう·じゅう,ひろう
浅,얕을 천,せん,あさい
違,어긋날 위,い,ちがう·ちがえる
層,층 층,そう,
裏,속 리(이),り,うら
勤,부지런할 근,きん·ごん,つとまる·つとめる
困,곤할 곤,こん,こまる
快,쾌할 쾌,かい,こころよい
著,"나타날 저, 입을 착",ちょ,あらわす·いちじるしい
誌,기록할 지,し,
勇,날랠 용,ゆう,いさむ
刻,새길 각,こく,きざむ
械,기계 계,かい,
菜,나물 채,さい,な
欧,토할 구,おう,
宇,집 우,う,
被,입을 피,ひ,こうむる
刷,인쇄할 쇄,さつ,する
渡,건널 도,と,わたす·わたる
欲,하고자 할 욕,よく,ほしい·ほっする
痛,아플 통,つう,いたい·いたむ·いためる
枚,낱 매,まい,
郵,우편 우,ゆう,
含,머금을 함,がん,ふくむ·ふくめる
探,찾을 탐,たん,さがす·さぐる
孫,손자 손,そん,まご
