日,날일,じつ·にち,か·ひ
刃,칼날 인,じん,は
縛,얽을 박,ばく,しばる
暦,책력 력,れき,こよみ
宜,마땅 의,ぎ,
盲,"소경 맹, 눈 멀 맹, 바라볼 망",もう,
粋,순수할 수,すい,いき
辱,욕될 욕,じょく,はずかしめる
轄,다스릴 할,かつ,
萩,사철쑥 추,しゅう,はぎ
猿,원숭이 원,えん,さる
弦,시위 현,げん,つる
窒,막힐 질,ちつ,
炊,불 땔 취,すい,たく
栗,밤 률(율),り·りつ,おののく·きびしい·くり
洪,넓을 홍,こう,
摂,"당길 섭, 몰아 잡을 섭",せつ,
飽,배부를 포,ほう,あかす·あきる
嘉,아름다울 가,か,よい·よみする
冗,쓸데없을 용,じょう,
桃,복숭아 도,とう,もも
狩,사냥할 수,しゅ,かり·かる
朱,붉을 주,しゅ,
渦,소용돌이 와,か,うず
紳,띠 신,しん,
枢,지도리 추,すう,
碑,비석 비,ひ,
鍛,쇠 불릴 단,たん,きたえる
鼓,북 고,こ,つづみ
裸,벗을 라(나),ら,はだか
猶,"오히려 유, 움직일 요",ゆう,
塊,덩어리 괴,かい,かたまり
旋,돌 선,せん,
幣,"화폐 폐, 두를 잡",へい,
膜,"꺼풀 막, 막 막, 오랑캐 절 모",まく,
扇,부채 선,せん,おうぎ
槽,구유 조,そう,
慈,사랑 자,じ,いつくしむ
鎌,낫 겸,,かま
伐,칠 벌,ばつ,
蚕,누에 잠,さん,かいこ
漬,담글 지,,つかる·つける
糾,"얽힐 규, 삿갓 가뜬할 교",きゅう,
墳,무덤 분,ふん,
坪,들 평,,つぼ
紺,"감색 감, 연보라 감",こん,
慌,어리둥절할 황,こう,あわただしい·あわてる
娯,즐거워할 오,ご,
辰,"별 진, 때 신",しん,たつ·とき·ひ
霞,노을 하,か,かすみ·かすむ
羅,"벌일 라(나), 그물 라(나)",ら,
峡,골짜기 협,きょう,
俸,녹 봉,ほう,
厘,"다스릴 리(이), 가게 전",りん,
峰,봉우리 봉,ほう,みね
醸,술 빚을 양,じょう,かもす
弔,"조상할 조, 이를 적",ちょう,とむらう
乙,새 을,おつ,
汁,"즙 즙, 맞을 협",じゅう,しる
尼,"여승 니(이), 말릴 닐(일)",に,あま
遍,두루 편,へん,
衡,"저울대 형, 가로 횡",こう,
那,"어찌 나, 어조사 내",な,
薫,향풀 훈,くん,かおる
猟,사냥할 렵,りょう,
款,항목 관,かん,
閲,검열할 열,えつ,
